,Country,HDI_2022,IHDI_2022,IHDI_overallloss_2022,Difference_HDI_rank,CHI_2022,ILE_2022,AILE_2022,IED_2022,AIED_2022,II_2022,AII_2022,IS_P40_2010-2022,IS_R10_2010-2022,IS_R1_2010-2022,gini_2010-2022
0,Switzerland,"0,967","0,891","7,9",-3,"7,6","3,0","0,959","2,0","0,906","17,7","0,814","19,9","25,8","9,9","33,1"
1,Norway,"0,966","0,903","6,5",0,"6,3","2,4","0,951","2,3","0,914","14,3","0,847","22,9","22,4","8,9","27,7"
2,Iceland,"0,959","0,910","5,1",2,"5,0","2,2","0,945","2,2","0,938","10,7","0,851","23,9","22,1","9,3","26,1"
3,"Hong Kong, China (SAR)","0,956","0,840","12,1",-17,"11,7","2,2","0,968","8,7","0,829","24,1","0,738",..,..,"17,9",53.9
4,Denmark,"0,952","0,898","5,7",2,"5,6","3,1","0,923","2,6","0,908","11,0","0,864","23,4","22,9","13,4","27,5"
5,Sweden,"0,952","0,878","7,8",-5,"7,6","2,5","0,953","3,4","0,891","16,9","0,796","22,0","22,4","11,7","28,9"
6,Germany,"0,950","0,881","7,3",-2,"7,1","3,3","0,907","3,8","0,921","14,3","0,817","20,9","25,2","13,3","31,7"
7,Ireland,"0,950","0,886","6,7",2,"6,6","2,8","0,938","2,9","0,862","14,0","0,860","22,3","23,8","12,2","29,2"
8,Singapore,"0,949","0,825","13,1",-17,"12,5","2,3","0,964","9,4","0,785","25,9","0,741",..,..,"10,3",45.9
9,Australia,"0,946","0,860","9,1",-4,"8,8","3,3","0,946","4,7","0,880","18,5","0,763","19,5","26,6","9,9","34,3"
10,Netherlands,"0,946","0,885","6,4",3,"6,4","3,1","0,931","4,7","0,877","11,4","0,850","23,8","21,6","6,9","26,0"
11,Belgium,"0,942","0,878","6,8",2,"6,7","3,2","0,927","5,7","0,865","11,3","0,842","23,9","21,4","8,6","26,0"
12,Finland,"0,942","0,886","5,9",7,"5,8","2,6","0,934","2,1","0,911","12,8","0,818","23,5","22,6","11,8","27,1"
13,Liechtenstein,"0,942",..,..,..,..,"4,5","0,950",..,..,..,..,..,..,..,..
14,United Kingdom,"0,940","0,865","8,0",2,"7,8","3,5","0,923","3,3","0,906","16,7","0,773","20,0","25,0","12,7","32,6"
15,New Zealand,"0,939","0,856","8,8",-2,"8,7","3,8","0,932","4,1","0,894","18,1","0,752",..,..,"11,9","33,9"
16,United Arab Emirates,"0,937","0,859","8,3",1,"8,2","4,4","0,871","9,8","0,815","10,4","0,894","23,0","20,0","15,3","26,0"
17,Canada,"0,935","0,864","7,6",4,"7,4","4,0","0,928","2,3","0,885","16,0","0,785","20,4","24,4","13,9","31,7"
18,Korea (Republic of),"0,929","0,841","9,5",-2,"9,3","2,6","0,959","8,8","0,801","16,4","0,774","20,5","24,0","11,7","31,4"
19,Luxembourg,"0,927","0,839","9,5",-3,"9,2","3,2","0,932","8,1","0,759","16,4","0,836","19,4","25,0","12,1","33,4"
20,United States,"0,927","0,823","11,2",-8,"10,7","5,6","0,845","2,6","0,885","23,9","0,745","16,6","30,1","19,0","39,8"
21,Austria,"0,926","0,859","7,2",6,"7,0","2,9","0,932","2,6","0,842","15,6","0,808","21,4","23,1","10,7","29,8"
22,Slovenia,"0,926","0,882","4,8",13,"4,7","2,1","0,935","2,0","0,895","10,0","0,820","25,1","20,5","8,4","24,0"
23,Japan,"0,920","0,844","8,3",4,"8,1","2,6","0,972","4,5","0,813","17,1","0,761","20,5","26,4","12,9","32,9"
24,Israel,"0,915","0,808","11,7",-7,"11,1","3,1","0,933","6,3","0,811","24,0","0,698","16,1","27,6","16,0","38,6"
25,Malta,"0,915","0,837","8,5",1,"8,3","4,2","0,939","5,2","0,804","15,5","0,778","21,0","25,1","10,7","31,4"
26,Spain,"0,911","0,796","12,6",-12,"12,3","2,6","0,957","15,0","0,721","19,2","0,732","18,1","25,0","11,4","34,9"
27,France,"0,910","0,820","9,9",-1,"9,8","3,6","0,937","7,8","0,769","17,9","0,764","21,2","24,5","9,0","30,7"
28,Cyprus,"0,907","0,827","8,8",3,"8,7","2,5","0,928","8,7","0,791","14,8","0,771","21,3","26,3","8,9","31,7"
29,Italy,"0,906","0,802","11,5",-4,"11,1","2,6","0,960","10,0","0,739","20,8","0,729","18,4","26,1","12,2","35,2"
30,Estonia,"0,899","0,835","7,1",6,"6,9","3,2","0,881","1,9","0,877","15,7","0,754","21,1","23,5","16,3","30,7"
31,Czechia,"0,895","0,848","5,3",13,"5,1","3,1","0,867","1,2","0,874","11,1","0,804","24,2","22,5","10,6","26,2"
32,Greece,"0,893","0,801","10,3",-3,"10,2","3,5","0,900","10,3","0,789","16,8","0,722","19,2","25,2","10,0","33,6"
33,Bahrain,"0,888",..,..,..,..,"4,4","0,871","8,8","0,749",..,..,..,..,"24,3","44,3"
34,Andorra,"0,884","0,810","8,4",3,"8,3","4,8","0,931","5,6","0,701","14,4","0,814",..,..,..,..
35,Poland,"0,881","0,797","9,5",-3,"9,3","3,9","0,843","4,2","0,845","19,8","0,710","22,3","23,1","15,2","28,8"
36,Latvia,"0,879","0,802","8,8",2,"8,3","4,2","0,824","1,8","0,888","19,0","0,706","18,6","27,5","8,6","35,7"
37,Lithuania,"0,879","0,795","9,6",-4,"9,1","4,2","0,801","2,9","0,879","20,4","0,715","19,0","28,5","12,5","36,0"
38,Croatia,"0,878","0,817","6,9",8,"6,9","3,3","0,882","3,9","0,810","13,5","0,763","21,3","22,3","9,3","29,5"
39,Qatar,"0,875",..,..,..,..,"4,0","0,909","11,2","0,627",..,..,..,..,"22,4","46,2"
40,Saudi Arabia,"0,875",..,..,..,..,"5,1","0,845","12,6","0,698",..,..,..,..,"21,0","45,6"
41,Portugal,"0,874","0,774","11,4",-2,"11,3","3,0","0,929","12,5","0,688","18,4","0,724","19,3","26,9","9,4","34,7"
42,San Marino,"0,867",..,..,..,..,"2,5","0,951","5,6","0,657",..,..,..,..,..,..
43,Chile,"0,860","0,704","18,1",-17,"16,6","5,0","0,870","7,1","0,776","37,7","0,517","15,0","35,8","22,9","44,9"
44,Slovakia,"0,855","0,808","5,5",9,"5,5","4,7","0,811","1,8","0,827","10,0","0,785","24,9","18,8","7,2","23,2"
45,Türkiye,"0,855","0,717","16,1",-13,"15,6","6,0","0,846","11,9","0,700","28,9","0,622","15,5","31,6","18,8","41,9"
46,Hungary,"0,851","0,800","6,0",6,"6,0","3,9","0,813","2,7","0,805","11,3","0,781","21,5","23,3","11,1","29,7"
47,Argentina,"0,849","0,747","12,0",0,"11,7","7,3","0,800","5,3","0,825","22,6","0,631","15,0","30,8","15,1","42,0"
48,Kuwait,"0,847",..,..,..,..,"5,0","0,880","22,1","0,533",..,..,..,..,"19,0","47,1"
49,Montenegro,"0,844","0,756","10,4",3,"10,1","2,5","0,853","7,8","0,774","19,9","0,655","16,8","26,0","8,6","36,8"
50,Saint Kitts and Nevis,"0,838",..,..,..,..,"7,5","0,740",..,..,..,..,..,..,..,..
51,Uruguay,"0,830","0,720","13,3",-7,"12,8","5,9","0,839","7,3","0,726","25,1","0,611","15,9","30,8","13,4","40,8"
52,Romania,"0,827","0,739","10,6",0,"10,4","4,9","0,792","5,4","0,740","20,9","0,688","17,9","24,2","14,5","34,6"
53,Antigua and Barbuda,"0,826",..,..,..,..,"4,8","0,867",..,..,..,..,..,..,..,..
54,Brunei Darussalam,"0,823","0,727","11,7",-2,"11,5","7,6","0,776","14,9","0,585","12,1","0,847",..,..,"12,4","63,4"
55,Russian Federation,"0,821","0,747","9,0",5,"8,7","5,5","0,729","2,0","0,831","18,7","0,688","19,1","29,0","23,8","36,0"
56,Bahamas,"0,820","0,663","19,1",-16,"17,8","8,9","0,762","6,9","0,703","37,6","0,546",..,..,"19,6","53,3"
57,Panama,"0,820","0,647","21,1",-20,"19,9","10,7","0,781","10,2","0,650","38,9","0,533","11,6","39,4","19,6","50,9"
58,Oman,"0,819","0,721","12,0",1,"11,5","6,6","0,775","4,3","0,724","23,7","0,668",..,..,"19,1","55,7"
59,Georgia,"0,814","0,728","10,6",4,"10,3","6,7","0,741","2,7","0,864","21,4","0,602","19,1","26,2","18,5","34,2"
60,Trinidad and Tobago,"0,814",..,..,..,..,"11,1","0,749","9,7","0,707",..,..,..,..,"19,6",..
61,Barbados,"0,809","0,617","23,7",-27,"20,8","7,8","0,818","5,5","0,745","49,0","0,385",..,..,..,..
62,Malaysia,"0,807","0,692","14,3",-5,"13,8","5,4","0,819","11,4","0,636","24,8","0,638","15,7","31,2","20,1","41,2"
63,Costa Rica,"0,806","0,656","18,6",-12,"17,6","6,0","0,829","11,1","0,658","35,6","0,517","13,1","35,7","17,7","47,2"
64,Serbia,"0,805","0,740","8,1",11,"7,9","4,1","0,799","6,2","0,737","13,5","0,689","19,0","27,1","15,5","35,0"
65,Thailand,"0,803","0,681","15,2",-4,"14,9","7,1","0,853","16,0","0,611","21,7","0,607","19,1","27,3","23,0","35,1"
66,Kazakhstan,"0,802","0,734","8,5",11,"8,3","7,0","0,708","3,2","0,800","14,7","0,698","23,3","23,4","10,6","27,8"
67,Seychelles,"0,802","0,715","10,8",4,"10,8","9,1","0,723","6,7","0,709","16,6","0,712","19,6","23,9","20,6","32,1"
68,Belarus,"0,801","0,750","6,4",18,"6,2","3,3","0,792","2,8","0,774","12,7","0,688","24,8","20,7","8,7","24,4"
69,High human development,,,,,,,,,,,,,,,
70,Bulgaria,"0,799","0,703","12,0",4,"11,6","5,3","0,751","5,8","0,721","23,7","0,640","17,0","32,6","16,6","40,5"
71,Palau,"0,797","0,633","20,6",-11,"18,9","12,6","0,610","3,1","0,885","40,9","0,470",..,..,..,..
72,Mauritius,"0,796","0,625","21,5",-15,"21,0","10,0","0,748","21,7","0,579","31,4","0,564","18,8","29,9","15,9","36,8"
73,Grenada,"0,793",..,..,..,..,"9,2","0,773",..,..,..,..,..,..,..,..
