country,latitude,longitude,billionaires_count,Population,GDP,GDP per capta,GDP Growth,Tax Revenue,Global Innovation Index,HDI_2022,gini_2010-2022,Concentration of Billionaires
Algeria,28.033886,1.659626,1,45606480.0,225560256621.757,4945.794032377789,4.10000000000679,19.0,"16,7","0,745","27,6",0.021926708660699092
Argentina,-38.416097,-63.616672,4,46654581.0,631133384439.944,13527.79021721241,-1.55050153620256,8.03863055414871,"28,6","0,849","42,0",0.08573648962788884
Armenia,40.069099,45.038189,1,2777970.0,19513474648.2429,7024.364787324162,8.7,21.8604192761626,"26,6","0,786","27,9",0.3599750897237911
Australia,-25.274398,133.775136,24,26638544.0,1692956646855.7,63552.89714241514,3.01698810357014,22.5575154262979,"47,1","0,946","34,3",0.9009501420197741
Austria,47.516231,14.550072,6,9132383.0,470941926750.741,51568.35042406139,-0.828815088963225,24.430745420851,"50,2","0,926","29,8",0.6570026684163377
Belgium,50.503887,4.469936,1,11822592.0,583613982019.263,49364.30031749915,1.36505523054922,21.1749069343668,"46,9","0,942","26,0",0.08458382053613962
Brazil,-14.235004,-51.92528,15,216422446.0,1951923942083.32,9019.045751304928,2.90848048667777,12.7193878571982,"32,5","0,760","52,9",0.0693088922948408
Canada,56.130366,-106.346771,23,40097761.0,2161483369422.01,53905.338241255165,1.06599445256434,13.5033320933869,"50,8","0,935","31,7",0.5735981118746256
Chile,-35.675147,-71.542969,2,19629590.0,302116539409.03,15390.873645808702,0.218780666901552,16.1961693332108,34,"0,860","44,9",0.10188699814922268
China,35.86166,104.195397,495,1410710000.0,17881783387000.9,12675.7330613669,5.19999999987174,8.09062621607631,"55,3","0,788","37,1",0.35088714193562104
Colombia,4.570868,-74.297333,1,52085168.0,345329875078.512,6630.10005225503,0.612181322079849,14.0443530782884,"29,2","0,758","51,5",0.019199323692303344
Czechia,49.817492,15.472962,6,10873689.0,290565654835.809,26721.902275833807,-0.311479452106369,14.3669150348801,"42,8","0,895","26,2",0.5517906572461286
Egypt,26.820553,30.802498,2,112716598.0,476747720364.742,4229.614172393155,3.75900541919032,14.1,"22,7","0,728","31,9",0.017743615718423297
Finland,61.92411,25.748151,2,5584264.0,281887430795.721,50478.88688567034,-1.03537569285423,19.8669960258446,"56,9","0,942","27,1",0.3581492565537733
France,46.227638,2.213749,14,68170228.0,2779092236505.85,40766.94941530561,0.703718546620237,14.6821253654277,55,"0,910","30,7",0.20536824374417526
Georgia,42.315407,43.356892,1,3760365.0,24984568959.605,6644.187189170466,7.47447909383303,21.1807829038543,"27,9","0,814","34,2",0.2659316316368225
Germany,51.165691,10.451526,29,84482267.0,4082469490797.68,48323.389461100516,-0.304934575740816,10.5513363280871,"57,2","0,950","31,7",0.34326730365793806
Greece,39.074208,21.824312,1,10361295.0,217581324512.059,20999.433421407168,2.01152094343999,25.3018286297911,"34,5","0,893","33,6",0.09651303239604701
Hong Kong,22.302711,114.177216,21,7536100.0,358696261481.16,47597.06764522233,3.21505497011667,14.1,"51,8","0,956",53.9,2.786587226814931
Hungary,47.162494,19.503304,3,9589872.0,177006128624.627,18457.61117819164,-0.907685956140242,22.6077302439077,"39,8","0,851","29,7",0.31283003568765044
