Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,16.9832568328479
Algeria,DZA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
American Samoa,ASM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Andorra,AND,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Angola,AGO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Antigua and Barbuda,ATG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,8.03863055414871
Armenia,ARM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,21.8604192761626
Aruba,ABW,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Australia,AUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,22.5575154262979
Austria,AUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,24.430745420851
Azerbaijan,AZE,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,15.1855725074093
"Bahamas, The",BHS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,18.6606110240807
Bahrain,BHR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2.92231784869143
Bangladesh,BGD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,7.00153674405437
Barbados,BRB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Belarus,BLR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.0229071990569
Belgium,BEL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,21.1749069343668
Belize,BLZ,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Benin,BEN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Bermuda,BMU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Bhutan,BTN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.2846378373934
Bolivia,BOL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Bosnia and Herzegovina,BIH,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,18.7506447293439
Botswana,BWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,22.2746462234553
Brazil,BRA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.7193878571982
British Virgin Islands,VGB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Brunei Darussalam,BRN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Bulgaria,BGR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,20.2782133399672
Burkina Faso,BFA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,13.4315862678668
Burundi,BDI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,15.787822766545
Cabo Verde,CPV,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,18.3857032934311
Cambodia,KHM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,17.8851727762633
Cameroon,CMR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,10.8705828088042
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,13.5033320933869
Cayman Islands,CYM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Central African Republic,CAF,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,8.70964482691346
Chad,TCD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Channel Islands,CHI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Chile,CHL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,16.1961693332108
China,CHN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,8.09062621607631
Colombia,COL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,14.0443530782884
Comoros,COM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
"Congo, Dem. Rep.",COD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,6.42988209797017
"Congo, Rep.",COG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,8.32448440207538
Costa Rica,CRI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.2767160362416
Cote d'Ivoire,CIV,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,11.7866882349007
Croatia,HRV,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,20.7814389520322
Cuba,CUB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Curacao,CUW,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Cyprus,CYP,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,22.2288969684106
Czechia,CZE,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,14.3669150348801
Denmark,DNK,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,34.5312116923201
Djibouti,DJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Dominica,DMA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Dominican Republic,DOM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.3898799024195
Ecuador,ECU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.9414347272775
"Egypt, Arab Rep.",EGY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
El Salvador,SLV,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,18.3907750793602
Equatorial Guinea,GNQ,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,8.01129013446091
Eritrea,ERI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Estonia,EST,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,20.7174754720045
Eswatini,SWZ,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,28.1269533272362
Ethiopia,ETH,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,6.19629946992619
Faroe Islands,FRO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,19.4522352170774
Finland,FIN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,19.8669960258446
France,FRA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,14.6821253654277
French Polynesia,PYF,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Gabon,GAB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.4492213287387
"Gambia, The",GMB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Georgia,GEO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,21.1807829038543
Germany,DEU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,10.5513363280871
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,11.3404319629261
Gibraltar,GIB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Greece,GRC,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,25.3018286297911
Greenland,GRL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Grenada,GRD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Guam,GUM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Guatemala,GTM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,9.95563837081418
Guinea,GIN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Guinea-Bissau,GNB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Guyana,GUY,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Haiti,HTI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
Honduras,HND,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
"Hong Kong SAR, China",HKG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..
