Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Zimbabwe,ZWE,4.95578170349711
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Zambia,ZMB,5.83247413510912
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,West Bank and Gaza,PSE,-5.50879437160218
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Yemen, Rep.",YEM,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Virgin Islands (U.S.),VIR,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Viet Nam,VNM,5.04643073618749
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Vanuatu,VUT,2.21294177094788
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uruguay,URY,0.3674751756175
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ukraine,UKR,5.3
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,3.43914949919611
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,4.10000000000679
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,AND,1.44418423106947
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,0.856000934845724
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,3.86201218730389
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-1.55050153620256
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,8.7
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,3.01698810357014
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,-0.828815088963225
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,1.12397432709641
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,2.63905598075102
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,2.48146533907759
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,5.77511237007889
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,4.51648965902731
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,3.88624214456901
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,1.36505523054922
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,4.5416322077583
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,6.35282160914288
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,2.44347191830776
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,1.6762234691309
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,2.73091904554352
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,2.90848048667777
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,British Virgin Islands,VGB,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,1.40706822925519
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,1.84638956019879
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,2.96018001322078
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,2.70000059705133
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,5.14913485822454
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,5.39999999995442
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,3.99338950938622
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,1.06599445256434
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cayman Islands,CYM,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,0.870251450842758
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,4.12231962001739
