Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,14502158192.0904
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,18916378860.5488
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,225560256621.757
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,871000000
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3380602042.84283
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,104399746853.401
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1867733333.33333
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,631133384439.944
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,19513474648.2429
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,3544707788.05664
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1692956646855.7
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,470941926750.741
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,78807470588.2353
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,13136400000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,44383297872.3404
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,460131688909.301
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5840673700
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,73775179924.603
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,583613982019.263
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2830507575.6841
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,17425418044.2906
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,7827980000
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2898227713.22315
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,44008282879.8842
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,24534663636.1778
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,20321958850.0363
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1951923942083.32
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,16681536466.7183
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,90346169914.9349
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,18820219331.2261
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,3338722827.65691
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,2303738020.15148
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,29504829319.3169
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,43644068310.851
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,2161483369422.01
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,6600844001.53721
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2382618615.01694
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,12396807590.173
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,11228317318.7652
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,302116539409.03
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,17881783387000.9
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,345329875078.512
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1242519407.77603
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,65801547619.5974
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,15817030156.9459
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,69243626028.5936
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,70173140101.4315
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,71997070660.4835
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,..
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,3073840325.43285
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,29250532020.0746
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,290565654835.809
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,400167196948.707
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,3674298479.07676
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,607159259.259259
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,113537368176.13
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,116586079000
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,476747720364.742
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,31988920000
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,13486788878.9757
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,..
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,37921480881.5429
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4790922788.70864
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,126772703047.701
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,3555929833.05051
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,4979979531.2725
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,281887430795.721
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2779092236505.85
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,5814661208.90544
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,21071739227.9422
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,2175099789.97829
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,24984568959.605
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,4082469490797.68
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,74263364041.8742
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,..
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,217581324512.059
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,..
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1224577777.77778
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,6910000000
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,95003330315.8754
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,20999229260.4995
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1714166526.44573
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,14718388489.2086
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,20253551920.5516
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,31426041806.7985
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,358696261481.16
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,177006128624.627
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,28701830401.6837
India,IND,GDP (current US$),NY.GDP.MKTP.CD,3353470496885.95
