Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1592.41657368542
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1369.12936484937
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,3367.60699023864
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Viet Nam,VNM,4346.76849237821
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,3367.09463871866
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,22564.5324620687
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,5181.36279296875
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,8367.77573143421
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,5260.20624980797
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,46544.7207199483
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,2309.52162029791
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,21560.2153299665
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,13730.5147090247
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,8715.76533622178
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,64711.7656030565
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,56505.9682796867
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,7155.08360355897
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,34749.6382896736
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,29084.3071297448
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2529.08012688018
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,22672.6154350731
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,7829.05313660622
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,53475.2934952935
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,7987.58595509037
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1434.66283439144
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3700.97833772869
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,8426.09111019155
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7249.79932596262
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,10043.6239221567
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,33430.9184783787
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,15797.5955773596
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,874.121280381345
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,199.580760181492
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,4321.57986427786
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1875.07148192948
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1673.64888857222
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,53371.6974319701
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,445.028195988605
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,719.384875157521
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,17093.2419713921
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,12614.0609948923
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6979.72513470377
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1587.16189555687
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,649.143987939358
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2508.82339515164
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,16595.3703837185
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2728.80324620071
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,21459.7847808036
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,34701.44140625
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,30427.4234688601
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,67967.3818685562
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,3606.4168960124
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,8953.89639365543
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,10716.0133558903
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,6533.35150400616
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,3512.58006529798
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,5344.21439437871
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,7066.61659257734
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,29823.7496069016
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,3797.30120946164
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,1293.7780075976
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,5868.1591677839
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,53755.9117362796
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,44460.8178457009
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,8420.10205701827
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,843.765742570282
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,8120.36344318242
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,52745.7557064131
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,2238.15802077213
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,22990.0135680461
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,10463.64593954
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,5797.52159594526
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,1663.93780748118
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,914.275153804104
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,20626.1991490567
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,1693.06874328693
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,3247.23105462683
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,50696.5903184046
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,22147.2097290479
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,78811.0583922693
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,2484.8454294403
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,4940.54980501156
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,4502.5463291805
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,5512.47571978422
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,103684.880801837
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,52261.6761509633
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,38373.1660497534
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,6874.20028399387
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,33834.3921056453
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4482.08602630337
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,13136.6229097144
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,1949.89896909713
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,2089.91016071918
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People's Rep.",PRK,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,33121.3712885508
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,5943.12571420876
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,37533.2177177327
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1969.86648107793
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,2075.40141406441
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,23184.3116680149
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,878.008505473734
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,799.501400511629
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,7329.97654106843
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,27102.7815282971
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,128259.402583282
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,66835.0643341913
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,528.650154757007
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,672.869702222595
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,11648.6741574144
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,12667.4356695795
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,897.448670290571
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,37882.2651856816
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,6762.54881417278
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,2149.41408725335
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,11416.858992993
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,13926.1136190914
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,3992.22384225509
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,6650.64795654292
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,5764.80281276063
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,12016.907421906
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3672.1123046875
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,608.442707550256
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1187.56706423461
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,4742.78382677745
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,12060.0781059109
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,1324.03198433372
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,62536.7320298151
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,48527.828920018
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,2530.29107203624
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,618.28722904313
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,1621.12351497744
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,8146.46797547749
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,87961.7806135072
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,23295.3299592198
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1407.02135059495
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,14565.3302534617
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,18661.7673290605
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2994.4533269188
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,6260.45519099666
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,7789.87097514036
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,3725.55120488081
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,22112.861574706
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,27275.1115544691
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,36779.0594913858
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,18419.4187120644
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,13817.0458984375
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,1000.21892281433
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,4139.02958723
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,2601.79054652115
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,28894.963351808
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,1745.97206754147
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,11360.9595106966
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,17879.2396545075
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,433.37417433006
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,84734.2559206054
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,39432.6381247356
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,24470.238537883
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,32163.5114152484
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,2203.1791258997
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,643.750028806778
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,6253.16161272014
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,32676.9837109377
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,3827.96480560557
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,22553.3056457148
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,13980.0940828315
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,10279.4939435955
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,2272.48559570313
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,6069.02890083889
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,56305.250200767
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,99994.9380204786
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,1188.99303811773
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,1211.05859375
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,7171.80809318978
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,1648.64729020342
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,1012.9738726321
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,18332.9640176054
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3895.38663874079
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkiye,TUR,12985.7531497962
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,9190.67154341786
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,30438.4175881929
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,5465.10280670561
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,1014.21397773156
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,52976.8083782405
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,48866.6039600298
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,81695.1870713305
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,2496.10775758036
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,..
